input	canonical	year	precision	qualifier	calendar	range	valid	reason	stored	exported551	exported7	storedyear	storedvalid
14 Feb., 1856	1856-02-14	1856	day		GREGORIAN	-	false	month names are not canonical; write 1856-02-14	1856-02-14	14 FEB 1856	14 FEB 1856	1856	true
14 JAN 1937 AZ	14 JAN 1937 AZ	1937	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 JAN 1937 AZ	14 JAN 1937 AZ	14 JAN 1937 AZ	1937	false
14 Juli 1942	14 Juli 1942	1942	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 Juli 1942	14 Juli 1942	14 Juli 1942	1942	false
14 JUN 1982 JRIVE	14 JUN 1982 JRIVE	1982	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 JUN 1982 JRIVE	14 JUN 1982 JRIVE	14 JUN 1982 JRIVE	1982	false
14 mai 1914	14 mai 1914	1914	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 mai 1914	14 mai 1914	14 mai 1914	1914	false
14 mar 1841	1841-03-14	1841	day		GREGORIAN	-	false	month names are not canonical; write 1841-03-14	1841-03-14	14 MAR 1841	14 MAR 1841	1841	true
14 MAR 1946 SG	14 MAR 1946 SG	1946	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 MAR 1946 SG	14 MAR 1946 SG	14 MAR 1946 SG	1946	false
14 MAR 1946 SGEOR	14 MAR 1946 SGEOR	1946	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 MAR 1946 SGEOR	14 MAR 1946 SGEOR	14 MAR 1946 SGEOR	1946	false
14 NOV 1929 AZ	14 NOV 1929 AZ	1929	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	14 NOV 1929 AZ	14 NOV 1929 AZ	14 NOV 1929 AZ	1929	false
14 Oct. 1804	1804-10-14	1804	day		GREGORIAN	-	false	month names are not canonical; write 1804-10-14	1804-10-14	14 OCT 1804	14 OCT 1804	1804	true
1401 BCE	1401 BCE	-1401	year		GREGORIAN	-	true		1401 BCE	1401 B.C.	1401 BCE	-1401	true
1401/8 B.C.	1401/8 B.C.	-1401	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1401/8 B.C.	1401/8 B.C.	1401/8 B.C.	-1401	false
1431 OR 1430	1431 OR 1430	1431	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1431 OR 1430	1431 OR 1430	1431 OR 1430	1431	false
1436/37 No issue	1436/37 No issue	1436	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1436/37 No issue	1436/37 No issue	1436/37 No issue	1436	false
1450 and 1456	1450 and 1456	1450	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1450 and 1456	1450 and 1456	1450 and 1456	1450	false
1496-1505	1496-1505	1496	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1496-1505	1496-1505	1496-1505	1496	false
15 APR 1588/1589	15 APR 1588/1589	1588	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 APR 1588/1589	15 APR 1588/1589	15 APR 1588/1589	1588	false
15 apr 1905	1905-04-15	1905	day		GREGORIAN	-	false	month names are not canonical; write 1905-04-15	1905-04-15	15 APR 1905	15 APR 1905	1905	true
15 APR 1933 AZ	15 APR 1933 AZ	1933	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 APR 1933 AZ	15 APR 1933 AZ	15 APR 1933 AZ	1933	false
15 APR 1933 RE: 2 MAR 1936 S	15 APR 1933 RE: 2 MAR 1936 S	1933	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 APR 1933 RE: 2 MAR 1936 S	15 APR 1933 RE: 2 MAR 1936 S	15 APR 1933 RE: 2 MAR 1936 S	1933	false
15 DEC	15 DEC	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 DEC	15 DEC	15 DEC	0	false
15 JUL	15 JUL	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 JUL	15 JUL	15 JUL	0	false
15 jul 1839	1839-07-15	1839	day		GREGORIAN	-	false	month names are not canonical; write 1839-07-15	1839-07-15	15 JUL 1839	15 JUL 1839	1839	true
15 JUN 1944 SG	15 JUN 1944 SG	1944	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 JUN 1944 SG	15 JUN 1944 SG	15 JUN 1944 SG	1944	false
15 Nov 1037 (?)	15 Nov 1037 (?)	1037	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 Nov 1037 (?)	15 Nov 1037 (?)	15 Nov 1037 (?)	1037	false
15 SEP 1396/1397	15 SEP 1396/1397	1396	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	15 SEP 1396/1397	15 SEP 1396/1397	15 SEP 1396/1397	1396	false
1558<1548>	1558<1548>	1558	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1558<1548>	1558<1548>	1558<1548>	1558	false
1584 (will)	1584 (will)	1584	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1584 (will)	1584 (will)	1584 (will)	1584	false
16 DEC 1968 AZ	16 DEC 1968 AZ	1968	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 DEC 1968 AZ	16 DEC 1968 AZ	16 DEC 1968 AZ	1968	false
16 Dec 80) (age 1391	16 Dec 80) (age 1391	1391	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 Dec 80) (age 1391	16 Dec 80) (age 1391	16 Dec 80) (age 1391	1391	false
16 Feb 1623-1624	16 Feb 1623-1624	1623	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 Feb 1623-1624	16 Feb 1623-1624	16 Feb 1623-1624	1623	false
16 FEBRUARY 1777	1777-02-16	1777	day		GREGORIAN	-	false	month names are not canonical; write 1777-02-16	1777-02-16	16 FEB 1777	16 FEB 1777	1777	true
16 MAR	16 MAR	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 MAR	16 MAR	16 MAR	0	false
16 MAR 1951 SLAKE	16 MAR 1951 SLAKE	1951	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 MAR 1951 SLAKE	16 MAR 1951 SLAKE	16 MAR 1951 SLAKE	1951	false
16 OR 16664	16 OR 16664	16	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 OR 16664	16 OR 16664	16 OR 16664	16	false
16 SEP 1940 SLAKE	16 SEP 1940 SLAKE	1940	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16 SEP 1940 SLAKE	16 SEP 1940 SLAKE	16 SEP 1940 SLAKE	1940	false
16-Jan-?	16-Jan-?	16	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16-Jan-?	16-Jan-?	16-Jan-?	16	false
16.mars 1957	16.mars 1957	1957	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	16.mars 1957	16.mars 1957	16.mars 1957	1957	false
1650S	1650S	1650	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1650S	1650S	1650S	1650	false
1654?	1654?	1654	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1654?	1654?	1654?	1654	false
1688-1704	1688-1704	1688	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1688-1704	1688-1704	1688-1704	1688	false
17 Apr 1113 Feb 05 Or	17 Apr 1113 Feb 05 Or	1113	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 Apr 1113 Feb 05 Or	17 Apr 1113 Feb 05 Or	17 Apr 1113 Feb 05 Or	1113	false
17 APR 1991 WA	17 APR 1991 WA	1991	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 APR 1991 WA	17 APR 1991 WA	17 APR 1991 WA	1991	false
17 fev 1713	17 fev 1713	1713	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 fev 1713	17 fev 1713	17 fev 1713	1713	false
17 JUN 1985 SL	17 JUN 1985 SL	1985	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 JUN 1985 SL	17 JUN 1985 SL	17 JUN 1985 SL	1985	false
17 mai 1944	17 mai 1944	1944	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 mai 1944	17 mai 1944	17 mai 1944	1944	false
17 Mar 1472-1473	17 Mar 1472-1473	1472	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 Mar 1472-1473	17 Mar 1472-1473	17 Mar 1472-1473	1472	false
17 SEP 1923 SLAKE	17 SEP 1923 SLAKE	1923	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17 SEP 1923 SLAKE	17 SEP 1923 SLAKE	17 SEP 1923 SLAKE	1923	false
17/27 NOV 1590	17/27 NOV 1590	1590	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	17/27 NOV 1590	17/27 NOV 1590	17/27 NOV 1590	1590	false
1732 or 11-22-1723	1732 or 11-22-1723	1732	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1732 or 11-22-1723	1732 or 11-22-1723	1732 or 11-22-1723	1732	false
1752 or after 1800	1752 or after 1800	1752	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1752 or after 1800	1752 or after 1800	1752 or after 1800	1752	false
1760S	1760S	1760	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1760S	1760S	1760S	1760	false
1780 3 DAYS SERVICE	1780 3 DAYS SERVICE	1780	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1780 3 DAYS SERVICE	1780 3 DAYS SERVICE	1780 3 DAYS SERVICE	1780	false
1794 Before	1794 Before	1794	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1794 Before	1794 Before	1794 Before	1794	false
18 Apr 1331/1332	18 Apr 1331/1332	1331	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 Apr 1331/1332	18 Apr 1331/1332	18 Apr 1331/1332	1331	false
18 APR 1984 JR	18 APR 1984 JR	1984	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 APR 1984 JR	18 APR 1984 JR	18 APR 1984 JR	1984	false
18 AUG	18 AUG	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 AUG	18 AUG	18 AUG	0	false
18 DEC 1969 ARIZO	18 DEC 1969 ARIZO	1969	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 DEC 1969 ARIZO	18 DEC 1969 ARIZO	18 DEC 1969 ARIZO	1969	false
18 FEB 1959 SG	18 FEB 1959 SG	1959	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 FEB 1959 SG	18 FEB 1959 SG	18 FEB 1959 SG	1959	false
18 JAN	18 JAN	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 JAN	18 JAN	18 JAN	0	false
18 JUN	18 JUN	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 JUN	18 JUN	18 JUN	0	false
18 MAR 1936 SL	18 MAR 1936 SL	1936	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 MAR 1936 SL	18 MAR 1936 SL	18 MAR 1936 SL	1936	false
18 Nov 1671/1672	18 Nov 1671/1672	1671	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 Nov 1671/1672	18 Nov 1671/1672	18 Nov 1671/1672	1671	false
18 NOV 1953 SL	18 NOV 1953 SL	1953	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 NOV 1953 SL	18 NOV 1953 SL	18 NOV 1953 SL	1953	false
18 Oct 1101 Tarsus	18 Oct 1101 Tarsus	1101	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 Oct 1101 Tarsus	18 Oct 1101 Tarsus	18 Oct 1101 Tarsus	1101	false
18 to 26 BC	18 to 26 BC	18	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18 to 26 BC	18 to 26 BC	18 to 26 BC	18	false
18/19 Jun 1665	18/19 Jun 1665	1665	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	18/19 Jun 1665	18/19 Jun 1665	18/19 Jun 1665	1665	false
1841 & 1851	1841 & 1851	1841	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1841 & 1851	1841 & 1851	1841 & 1851	1841	false
1898 Coalville, Summit, Utah	1898 Coalville, Summit, Utah	1898	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1898 Coalville, Summit, Utah	1898 Coalville, Summit, Utah	1898 Coalville, Summit, Utah	1898	false
19 apr 1828 or 18 apr 1829	19 apr 1828 or 18 apr 1829	1828	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 apr 1828 or 18 apr 1829	19 apr 1828 or 18 apr 1829	19 apr 1828 or 18 apr 1829	1828	false
19 FEB 1951 SLAKE	19 FEB 1951 SLAKE	1951	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 FEB 1951 SLAKE	19 FEB 1951 SLAKE	19 FEB 1951 SLAKE	1951	false
19 FEB 1959 SG	19 FEB 1959 SG	1959	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 FEB 1959 SG	19 FEB 1959 SG	19 FEB 1959 SG	1959	false
19 JAN 1983 PV	19 JAN 1983 PV	1983	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 JAN 1983 PV	19 JAN 1983 PV	19 JAN 1983 PV	1983	false
19 JUN 1923 SLAKE	19 JUN 1923 SLAKE	1923	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 JUN 1923 SLAKE	19 JUN 1923 SLAKE	19 JUN 1923 SLAKE	1923	false
19 mar 1936	1936-03-19	1936	day		GREGORIAN	-	false	month names are not canonical; write 1936-03-19	1936-03-19	19 MAR 1936	19 MAR 1936	1936	true
19 MAR 1951 SLAKE	19 MAR 1951 SLAKE	1951	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 MAR 1951 SLAKE	19 MAR 1951 SLAKE	19 MAR 1951 SLAKE	1951	false
19 OCT 1923 SLAKE	19 OCT 1923 SLAKE	1923	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	19 OCT 1923 SLAKE	19 OCT 1923 SLAKE	19 OCT 1923 SLAKE	1923	false
1900??	1900??	1900	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1900??	1900??	1900??	1900	false
1905-1910?	1905-1910?	1905	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1905-1910?	1905-1910?	1905-1910?	1905	false
1913-1924?	1913-1924?	1913	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1913-1924?	1913-1924?	1913-1924?	1913	false
1919, died in infancy	1919, died in infancy	1919	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1919, died in infancy	1919, died in infancy	1919, died in infancy	1919	false
1990's	1990's	1990	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1990's	1990's	1990's	1990	false
1st husband	1st husband	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1st husband	1st husband	1st husband	0	false
1st Husband	1st Husband	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1st Husband	1st Husband	1st Husband	0	false
1st wife	1st wife	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1st wife	1st wife	1st wife	0	false
2 DEC 1931 SL	2 DEC 1931 SL	1931	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 DEC 1931 SL	2 DEC 1931 SL	2 DEC 1931 SL	1931	false
2 DEC 1952 SG	2 DEC 1952 SG	1952	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 DEC 1952 SG	2 DEC 1952 SG	2 DEC 1952 SG	1952	false
2 feb 1839	1839-02-02	1839	day		GREGORIAN	-	false	month names are not canonical; write 1839-02-02	1839-02-02	2 FEB 1839	2 FEB 1839	1839	true
2 JUL 1934 SL	2 JUL 1934 SL	1934	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 JUL 1934 SL	2 JUL 1934 SL	2 JUL 1934 SL	1934	false
2 JUN 1952 SL	2 JUN 1952 SL	1952	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 JUN 1952 SL	2 JUN 1952 SL	2 JUN 1952 SL	1952	false
2 MAR 1934 AZ	2 MAR 1934 AZ	1934	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 MAR 1934 AZ	2 MAR 1934 AZ	2 MAR 1934 AZ	1934	false
2 MAR 1949 SG	2 MAR 1949 SG	1949	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 MAR 1949 SG	2 MAR 1949 SG	2 MAR 1949 SG	1949	false
2 NOV 1983 OG	2 NOV 1983 OG	1983	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 NOV 1983 OG	2 NOV 1983 OG	2 NOV 1983 OG	1983	false
2 Oct 66 Age 1829	2 Oct 66 Age 1829	1829	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 Oct 66 Age 1829	2 Oct 66 Age 1829	2 Oct 66 Age 1829	1829	false
2 SEP 1931 SL	2 SEP 1931 SL	1931	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 SEP 1931 SL	2 SEP 1931 SL	2 SEP 1931 SL	1931	false
2 TVT 5758	2 TVT 5758	5758	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 TVT 5758	2 TVT 5758	2 TVT 5758	5758	false
2/18/1600or 1601	2/18/1600or 1601	1600	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2/18/1600or 1601	2/18/1600or 1601	2/18/1600or 1601	1600	false
2/2/1788or Feb 13	2/2/1788or Feb 13	1788	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2/2/1788or Feb 13	2/2/1788or Feb 13	2/2/1788or Feb 13	1788	false
2/3 Feb 1245	2/3 Feb 1245	1245	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2/3 Feb 1245	2/3 Feb 1245	2/3 Feb 1245	1245	false
20 FEB 1929 LG	20 FEB 1929 LG	1929	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 FEB 1929 LG	20 FEB 1929 LG	20 FEB 1929 LG	1929	false
20 februari 1934	20 februari 1934	1934	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 februari 1934	20 februari 1934	20 februari 1934	1934	false
20 Jan 1812 or 1798	20 Jan 1812 or 1798	1812	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 Jan 1812 or 1798	20 Jan 1812 or 1798	20 Jan 1812 or 1798	1812	false
20 JUL 1972 PROVO	20 JUL 1972 PROVO	1972	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 JUL 1972 PROVO	20 JUL 1972 PROVO	20 JUL 1972 PROVO	1972	false
20 JUN 1928 SGEOR	20 JUN 1928 SGEOR	1928	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 JUN 1928 SGEOR	20 JUN 1928 SGEOR	20 JUN 1928 SGEOR	1928	false
20 MARCH 1842	1842-03-20	1842	day		GREGORIAN	-	false	month names are not canonical; write 1842-03-20	1842-03-20	20 MAR 1842	20 MAR 1842	1842	true
20 MAY 1936 AZ	20 MAY 1936 AZ	1936	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 MAY 1936 AZ	20 MAY 1936 AZ	20 MAY 1936 AZ	1936	false
20 OCT 1932 SG	20 OCT 1932 SG	1932	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 OCT 1932 SG	20 OCT 1932 SG	20 OCT 1932 SG	1932	false
20 SEP 1957 SL	20 SEP 1957 SL	1957	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	20 SEP 1957 SL	20 SEP 1957 SL	20 SEP 1957 SL	1957	false
21 AUG 1877 SG	21 AUG 1877 SG	1877	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 AUG 1877 SG	21 AUG 1877 SG	21 AUG 1877 SG	1877	false
21 DEC 1826 [?]	21 DEC 1826 [?]	1826	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 DEC 1826 [?]	21 DEC 1826 [?]	21 DEC 1826 [?]	1826	false
21 JUN 1948 LG	21 JUN 1948 LG	1948	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 JUN 1948 LG	21 JUN 1948 LG	21 JUN 1948 LG	1948	false
21 juni 1856	21 juni 1856	1856	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 juni 1856	21 juni 1856	21 juni 1856	1856	false
21 Mar	21 Mar	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 Mar	21 Mar	21 Mar	0	false
21 MARCH 1749	1749-03-21	1749	day		GREGORIAN	-	false	month names are not canonical; write 1749-03-21	1749-03-21	21 MAR 1749	21 MAR 1749	1749	true
21 MAY 1954 IF	21 MAY 1954 IF	1954	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 MAY 1954 IF	21 MAY 1954 IF	21 MAY 1954 IF	1954	false
21 MAY 992/994	21 MAY 992/994	992	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 MAY 992/994	21 MAY 992/994	21 MAY 992/994	992	false
21 NOV 1952 IF	21 NOV 1952 IF	1952	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 NOV 1952 IF	21 NOV 1952 IF	21 NOV 1952 IF	1952	false
21 NOV 1962 IF	21 NOV 1962 IF	1962	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 NOV 1962 IF	21 NOV 1962 IF	21 NOV 1962 IF	1962	false
21 Oct 1425/1426	21 Oct 1425/1426	1425	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 Oct 1425/1426	21 Oct 1425/1426	21 Oct 1425/1426	1425	false
21 SEP	21 SEP	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21 SEP	21 SEP	21 SEP	0	false
21DEC1694	21DEC1694	1694	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	21DEC1694	21DEC1694	21DEC1694	1694	false
22 AUG 1877 SG	22 AUG 1877 SG	1877	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	22 AUG 1877 SG	22 AUG 1877 SG	22 AUG 1877 SG	1877	false
22 DEC 1932 SGEOR	22 DEC 1932 SGEOR	1932	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	22 DEC 1932 SGEOR	22 DEC 1932 SGEOR	22 DEC 1932 SGEOR	1932	false
22 JAN 1947 SL	22 JAN 1947 SL	1947	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	22 JAN 1947 SL	22 JAN 1947 SL	22 JAN 1947 SL	1947	false
22 MAY 1127/1128	22 MAY 1127/1128	1127	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	22 MAY 1127/1128	22 MAY 1127/1128	22 MAY 1127/1128	1127	false
22 NOV	22 NOV	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	22 NOV	22 NOV	22 NOV	0	false
22 nov 1928	1928-11-22	1928	day		GREGORIAN	-	false	month names are not canonical; write 1928-11-22	1928-11-22	22 NOV 1928	22 NOV 1928	1928	true
23 03 18??	23 03 18??	23	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23 03 18??	23 03 18??	23 03 18??	23	false
23 AD	23 AD	23	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23 AD	23 AD	23 AD	23	false
23 Apr 35) (age 1307	23 Apr 35) (age 1307	1307	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23 Apr 35) (age 1307	23 Apr 35) (age 1307	23 Apr 35) (age 1307	1307	false
23 APR 799 BCE	0799-04-23 BCE	-799	day		GREGORIAN	-	false	month names are not canonical; write 0799-04-23	0799-04-23 BCE	23 APR 0799 B.C.	23 APR 0799 BCE	-799	true
23 DEC 1932 SGEOR	23 DEC 1932 SGEOR	1932	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23 DEC 1932 SGEOR	23 DEC 1932 SGEOR	23 DEC 1932 SGEOR	1932	false
23 JUN 1936 AZ	23 JUN 1936 AZ	1936	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23 JUN 1936 AZ	23 JUN 1936 AZ	23 JUN 1936 AZ	1936	false
23 MAY 799 BCE	0799-05-23 BCE	-799	day		GREGORIAN	-	false	month names are not canonical; write 0799-05-23	0799-05-23 BCE	23 MAY 0799 B.C.	23 MAY 0799 BCE	-799	true
23 SEP	23 SEP	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23 SEP	23 SEP	23 SEP	0	false
23-Feb abt 1900	23-Feb abt 1900	1900	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	23-Feb abt 1900	23-Feb abt 1900	23-Feb abt 1900	1900	false
